epoch,epoch_loss,cls_max_mean,cls_max_p95,keep_rate@0.1,keep_rate@0.2,keep_rate@0.3,img_forged_mean,mask_max_mean,w_mask_cls
1,1.9316594221814891,0.09552091360092163,0.09554418176412582,0.0,0.0,0.0,0.6483141779899597,0.9921413660049438,1.0
2,1.7359411686635828,0.10303287208080292,0.10306762903928757,1.0,0.0,0.0,0.7030375003814697,0.3746042847633362,1.0
3,1.6496864824658015,0.1044558435678482,0.10608594119548798,0.98333340883255,0.0,0.0,0.41120463609695435,0.8154724836349487,1.0
4,1.555202937320773,0.131759911775589,0.16488386690616608,0.7500000596046448,0.0,0.0,0.7225232124328613,0.7763270139694214,1.0
5,1.508351179245727,0.0907050222158432,0.12176625430583954,0.5166667103767395,0.0,0.0,0.6241387724876404,0.33683761954307556,1.0
1,1.9485946481894858,0.08911971747875214,0.08915368467569351,0.0,0.0,0.0,0.5918565988540649,0.7987505197525024,1.0
2,1.7775099202414752,0.1105622872710228,0.11060523986816406,1.0,0.0,0.0,0.7124870419502258,0.7584902048110962,1.0
3,1.6663124676004997,0.11264654994010925,0.11268303543329239,0.5333333611488342,0.0,0.0,0.3096507787704468,0.8056862950325012,1.0
4,1.5743659036075681,0.12977144122123718,0.13023464381694794,1.0,0.0,0.0,0.7495514750480652,0.9695151448249817,1.0
5,1.530485229488963,0.10837139934301376,0.10841114073991776,0.20000001788139343,0.0,0.0,0.4708200693130493,0.9727250337600708,1.0
6,1.480939260550085,0.1032015010714531,0.11849109828472137,0.550000011920929,0.0,0.0,0.6320364475250244,0.929119884967804,1.0
7,1.4376063607921004,0.10182442516088486,0.13661415874958038,0.25,0.0,0.0,0.6835474967956543,0.9999868869781494,1.0
8,1.407823133705561,0.11199185252189636,0.17807148396968842,0.46666669845581055,0.0,0.0,0.5153149962425232,0.9740900993347168,1.0
9,1.3837278891395104,0.08207850158214569,0.13854220509529114,0.3500000238418579,0.0,0.0,0.4665105938911438,0.9995750784873962,1.0
10,1.3604436585077961,0.1330757886171341,0.19106611609458923,0.7500000596046448,0.0,0.0,0.5221500396728516,0.999739944934845,1.0
11,1.3201248972853747,0.22135135531425476,0.25696611404418945,0.6333333849906921,0.21666668355464935,0.0,0.6685800552368164,0.9999977350234985,1.0
12,1.318706750322761,0.06902696937322617,0.15500177443027496,0.25,0.0,0.0,0.35624220967292786,0.9997915029525757,1.0
13,1.3605243243979523,0.22101560235023499,0.2255646288394928,0.8500000238418579,0.13333334028720856,0.0,0.9344587922096252,0.9999995231628418,1.0
14,1.3860212126818745,0.07797809690237045,0.12700775265693665,0.2666666805744171,0.0,0.0,0.3554950952529907,0.9991583824157715,1.0
15,1.377928678499077,0.1745145320892334,0.21977461874485016,0.7500000596046448,0.05000000447034836,0.0,0.706977367401123,0.9999999403953552,1.0
16,1.3117927614501583,0.0770341157913208,0.15651510655879974,0.31666669249534607,0.0,0.0,0.3920479416847229,0.9999992847442627,1.0
17,1.27442733048126,0.20053738355636597,0.2282666712999344,0.7500000596046448,0.03333333507180214,0.0,0.7335308194160461,1.0,1.0
18,1.6820592537142303,0.11249701678752899,0.1231311559677124,0.4166666865348816,0.0,0.0,0.5158373117446899,0.9974222779273987,1.0
19,1.639596528602531,0.13642099499702454,0.14617763459682465,0.46666669845581055,0.0,0.0,0.49616575241088867,0.9999998807907104,1.0
20,1.5668366132692724,0.13520561158657074,0.1434861570596695,0.6833333969116211,0.0,0.0,0.5155385136604309,0.9999656677246094,1.0
21,1.470098471473413,0.1456771194934845,0.15011240541934967,0.7500000596046448,0.0,0.0,0.32483041286468506,0.99800044298172,1.0
22,1.420504094402333,0.09035780280828476,0.19328153133392334,0.25,0.01666666753590107,0.0,0.43788689374923706,0.9999799728393555,1.0
23,1.3872104190992425,0.11788779497146606,0.12476682662963867,0.11666667461395264,0.0,0.0,0.37135499715805054,1.0,1.0
24,1.383887828156421,0.14409880340099335,0.22395941615104675,0.5,0.06666667014360428,0.0,0.2885502576828003,0.9999992251396179,1.0
25,1.5176893376516412,0.15267865359783173,0.16343429684638977,0.5833333730697632,0.0,0.0,0.5068926811218262,0.9999645948410034,1.0
